Session,Card Name,Card Number,Set/Block/Raid,Quantity
64,Nether Rift,080,Icecrown,1
65,Regrowth,024,Fields of Honor,1
66,Crusty,026,Fields of Honor,2
66,Explosive Trap,028,Fields of Honor,2
66,Celestial Shard,019,Fields of Honor,2
66,Kileana the Inferno,015,Fields of Honor,2
66,Dorn the Tranquil,012,Fields of Honor,2
70,Addisyn the Untouchable,010,Fields of Honor,4
76,Augh,004,Tomb of the Forgotten,1
76,Magnus the Depriver,006,Fields of Honor,1
76,Wristguards of True Flight,262,Through The Dark Portal,1
76,Tim,192,Through The Dark Portal,1
